"Please enter a valid email address (Ex: johndoe@domain.com).","Merci de renseigner un email valide (Ex: johndoe@domain.com)"
"Orders ","Mes commandes"
"Product Manager","Mes produits"
"My store","Ma boutique"
"My payments","Mes paiements"
"Back to Login","Retour à la connexion"
"Register New Account","S'inscrire comme fleuriste"
"Search entire store here...","Je recherche…"
"Registration / Login","Inscription / Connexion"
"I am a customer","Je suis un particulier"
"I am a flower seller","Je suis un fleuriste"
"Flower delivery in <span class=\"town\">%s</span>","Livraison de fleurs à <span class=\"town\">%s</span>"
"%1$s flowers and floral fesigns found in %2$s","%1$s fleurs et bouquets trouvés à %2$s"
"Algolia Search Products", "Algolia Search Products"
"Rebuild products.", "Rebuild products."
"Algolia Search Categories", "Algolia Search Categories"
"Rebuild categories.", "Rebuild categories."
"Algolia Search Pages", "Algolia Search Pages"
"Rebuild pages.", "Rebuild pages."
"Algolia Search Suggestions", "Algolia Search Suggestions"
"Rebuild suggestions.", "Rebuild suggestions."
"Rebuild additional sections.", "Rebuild additional sections."
"Please enable the queueing system to do it asynchronously (CRON) if you have a lot of products in System > Configuration > Algolia Search > Queue configuration", "Please enable the queueing system to do it asynchronously (CRON) if you have a lot of products in System > Configuration > Algolia Search > Queue configuration"
"Algolia Search Queue Runner", "Algolia Search Queue Runner"
"Process the queue if enabled. This allow to run jobs in the queue", "Process the queue if enabled. This allow to run jobs in the queue"
"Section", "Section"
"Label", "Label"
"Hits per page", "Hits per page"
"Add Section", "Add Section"
"Attribute", "Attribute"
"Searchable", "Searchable"
"Retrievable", "Retrievable"
"Ordered", "Ordered"
"Add Attribute", "Add Attribute"
"Asc / Desc", "Asc / Desc"
"Add Ranking Criterion", "Add Ranking Criterion"
"Facet type", "Facet type"
"Add Facet", "Add Facet"
"Sort", "Sort"
"Add Sorting Attribute", "Add Sorting Attribute"
"Pages", "Pages"
"Add Excluded Page", "Add Excluded Page"
"Search by", "Search by"
"Search for products, categories, ...", "Rechercher un produit, une catégorie ..."
"Search:", "Recherche:"
"in", "dans"
"Categories", "Catégories"
"Products", "Produits"
"Refine", "Refine"
"Current search", "Votre recherche :"
"Search for products", "Rechercher un produit, une catégorie ..."
"SORT BY", "TRIER PAR"
"Add to Cart", "Ajouter au panier"
"result found", "Résultat trouvé"
"results found", "Résultats trouvés"
"out of", "sur"
"seconds", "secondes"
"Relevance", "Pertinence"
"No products for query", "Aucun produit trouvé pour cette recherche"
"You can try one of the popular search queries", "Vous pouvez essayer avec l'une de ces recherches favorites"
"or", "or"
"See all products", "Voir tous les produits"
